feature_name,importance,category
hour_of_day,0.298697488414008,Temporal
complaint_density,0.26590376886963357,Cross-modal
humidity_pct,0.09187826719072481,Weather
taxi_dropoffs,0.06328454453047018,Transport
taxi_to_subway_ratio,0.046710603816300135,Cross-modal
temperature_c,0.03711117351203359,Weather
complaint_count,0.034705580435274844,External
page_rank,0.02954854428788961,Graph
out_degree,0.029458658129120994,Graph
in_degree,0.025685974578576562,Graph
bike_to_subway_ratio,0.018972150932214348,Cross-modal
subway_ridership,0.01796080806319909,Transport
wind_speed_kmh,0.012750769918687342,Weather
community_id,0.009264217587094397,Graph
taxi_pickups,0.0052346906225334364,Transport
is_rush_hour,0.00359608941187107,Temporal
total_surface_transport,0.0034387564374885687,Cross-modal
bike_ends,0.002350157987478319,Transport
max_complaint_severity,0.0012753132786744567,External
is_rain,0.0009758954428519564,Weather
is_weekend,0.000645951744473807,Temporal
bike_starts,0.00033842646249992395,Transport
precipitation_mm,0.0002121683469007838,Weather
is_snow,0.0,Weather
is_extreme_cold,0.0,Weather
is_extreme_heat,0.0,Weather
event_count,0.0,External
