zone_id,vertex_id,node_type,name,lat,lon,borough,capacity,page_rank,community_id,in_degree,out_degree,primary_line
1,1,TaxiZone,Zone 1,40.682862,-74.156874,EWR,1405,0.005115,0,3,3,A
2,2,TaxiZone,Zone 2,40.68438,-74.212426,EWR,2847,0.000677,0,2,2,C
3,3,TaxiZone,Zone 3,40.693564,-74.157848,EWR,1468,0.004519,0,3,3,E
4,4,TaxiZone,Alphabet City,40.7258,-73.9815,Manhattan,2804,0.002074,1,54,54,1
5,5,TaxiZone,Zone 5,40.667259,-74.144841,EWR,1924,0.004898,0,2,2,2
6,6,TaxiZone,Zone 6,40.814529,-73.984642,Manhattan,1118,0.002142,1,41,41,3
7,7,TaxiZone,Zone 7,40.749205,-73.948806,Manhattan,2103,0.003003,1,70,70,4
8,8,TaxiZone,Zone 8,40.812974,-73.933717,Manhattan,2681,0.001508,1,37,37,5
9,9,TaxiZone,Zone 9,40.74393,-73.97105,Manhattan,2604,0.00193,1,72,72,6
10,10,TaxiZone,Zone 10,40.804806,-74.00954,Manhattan,1844,0.002035,1,37,37,N
11,11,TaxiZone,Zone 11,40.757522,-74.009642,Manhattan,1793,0.002768,1,57,57,Q
12,12,TaxiZone,Battery Park City,40.7117,-74.0154,Manhattan,832,0.001211,1,24,24,R
13,13,TaxiZone,Bedford-Stuyvesant,40.6872,-73.9418,Brooklyn,2197,0.003808,2,25,25,W
14,14,TaxiZone,Zone 14,40.784215,-73.949347,Manhattan,2875,0.002668,1,73,73,J
15,15,TaxiZone,Zone 15,40.811005,-73.996888,Manhattan,2932,0.001851,1,40,40,Z
16,16,TaxiZone,Zone 16,40.760963,-73.969347,Manhattan,1845,0.0026,1,80,80,7
17,17,TaxiZone,Zone 17,40.766673,-73.968753,Manhattan,906,0.003543,1,82,82,G
18,18,TaxiZone,Zone 18,40.79513,-73.970764,Manhattan,2226,0.00268,1,71,71,B
19,19,TaxiZone,Zone 19,40.750903,-73.9503,Manhattan,1436,0.002,1,70,70,D
20,20,TaxiZone,Zone 20,40.79015,-73.939383,Manhattan,2941,0.002241,1,58,58,F
21,21,TaxiZone,Zone 21,40.746998,-73.988071,Manhattan,548,0.003337,1,71,71,M
22,22,TaxiZone,Zone 22,40.759777,-73.972666,Manhattan,856,0.003863,1,80,80,L
23,23,TaxiZone,Zone 23,40.784484,-73.935443,Manhattan,2012,0.00168,1,56,56,A
24,24,TaxiZone,Borough Park,40.6345,-73.9927,Brooklyn,2579,0.002225,2,29,29,C
25,25,TaxiZone,Zone 25,40.81271,-73.964618,Manhattan,755,0.001743,1,46,46,E
26,26,TaxiZone,Zone 26,40.767735,-73.969649,Manhattan,2485,0.003614,1,83,83,1
27,27,TaxiZone,Zone 27,40.777158,-73.946033,Manhattan,1252,0.002869,1,69,69,2
28,28,TaxiZone,Zone 28,40.801421,-73.966301,Manhattan,2536,0.002429,1,64,64,3
29,29,TaxiZone,Zone 29,40.812201,-73.988408,Manhattan,1308,0.002869,1,41,41,4
30,30,TaxiZone,Zone 30,40.794631,-73.98074,Manhattan,1000,0.002049,1,72,72,5
31,31,TaxiZone,Zone 31,40.765984,-73.934552,Manhattan,1326,0.001766,1,57,57,6
32,32,TaxiZone,Zone 32,40.811811,-73.981383,Manhattan,2636,0.002446,1,47,47,N
