zone_id,date,hourly_timestamp,taxi_pickups,taxi_dropoffs,subway_ridership,bike_starts,bike_ends,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,is_rain,is_snow,is_extreme_cold,is_extreme_heat,complaint_count,event_count,page_rank,community_id,in_degree,out_degree,hour_of_day,is_rush_hour,is_weekend,z_subway,z_pickups,z_bikes,is_anomaly,prediction
1,2023-02-07,2023-02-07 08:00:00,317,339,566,134,133,10.3,53.8,0.0,24.8,0,0,0,0,15,3,0.006633,1,8,40,8,1,0,-1.6654,-0.3507,-0.2871,0,0
2,2023-02-07,2023-02-07 08:00:00,133,112,244,58,59,0.3,88.4,2.96,27.0,0,1,0,0,9,3,0.002914,2,33,22,8,1,0,-1.2912,-0.5549,-0.7506,0,0
3,2023-02-07,2023-02-07 08:00:00,313,362,552,155,140,7.8,65.6,0.75,15.9,1,1,0,0,12,2,0.006732,3,74,16,8,1,0,-0.0276,0.4351,0.7564,0,0
4,2023-02-07,2023-02-07 08:00:00,115,114,235,48,52,13.6,65.3,0.0,25.9,0,0,0,0,4,1,0.002701,4,9,8,8,1,0,-0.6991,0.7033,-0.9934,0,0
5,2023-02-07,2023-02-07 08:00:00,125,103,141,36,39,13.0,82.7,0.0,32.4,0,0,0,0,7,1,0.001892,5,32,34,8,1,0,-0.7521,-0.2056,0.4419,0,0
6,2023-02-07,2023-02-07 08:00:00,421,486,607,155,147,10.2,88.3,0.0,12.1,0,0,0,0,14,0,0.007804,6,8,76,8,1,0,0.6692,0.1637,1.3446,0,0
7,2023-02-07,2023-02-07 08:00:00,22,23,37,9,9,6.2,81.2,0.0,9.0,0,0,0,0,1,1,0.000379,7,74,58,8,1,0,0.0924,-0.5676,-0.5715,0,0
8,2023-02-07,2023-02-07 08:00:00,22,25,36,6,6,21.2,40.9,0.0,6.2,0,0,0,0,0,2,0.000364,0,62,80,8,1,0,0.026,0.095,-1.0846,0,0
9,2023-02-07,2023-02-07 08:00:00,127,147,193,37,39,8.4,76.0,0.0,10.0,0,0,0,0,8,3,0.002192,1,5,25,8,1,0,0.5479,-0.3427,-0.6373,0,0
10,2023-02-07,2023-02-07 08:00:00,357,349,519,119,136,5.8,69.9,1.32,12.4,1,0,0,0,15,1,0.006386,2,48,40,8,1,0,-0.3259,0.3868,-0.1413,0,0
11,2023-02-07,2023-02-07 08:00:00,279,306,422,101,99,3.8,83.6,4.24,22.6,0,1,0,0,10,0,0.004899,3,32,48,8,1,0,-1.7459,0.0311,-0.7261,0,0
12,2023-02-07,2023-02-07 08:00:00,153,152,209,60,51,3.2,56.2,6.19,5.8,1,0,0,0,4,3,0.002814,4,16,53,8,1,0,-0.52,-0.8385,-0.072,0,0
13,2023-02-07,2023-02-07 08:00:00,13,10,27,7,5,4.3,73.6,0.0,11.6,0,0,0,0,2,2,0.000253,5,50,49,8,1,0,0.0109,0.1859,0.6376,0,0
14,2023-02-07,2023-02-07 08:00:00,62,61,92,30,27,7.9,57.8,0.1,24.8,1,1,0,0,5,0,0.001216,6,10,63,8,1,0,-0.8099,0.1364,-0.3711,0,0
15,2023-02-07,2023-02-07 08:00:00,73,79,134,46,48,17.0,80.6,0.17,24.9,1,0,0,0,3,0,0.001712,7,20,53,8,1,0,0.3445,-1.1566,-0.2095,0,0
16,2023-02-07,2023-02-07 08:00:00,372,351,555,140,144,9.1,86.3,5.72,22.1,1,0,0,0,18,2,0.007253,0,75,42,8,1,0,0.4158,0.7778,-0.5713,0,0
17,2023-02-07,2023-02-07 08:00:00,118,131,197,57,51,10.2,88.0,0.0,31.6,0,0,0,0,8,1,0.002824,1,78,29,8,1,0,0.4121,1.3175,-1.1018,0,0
18,2023-02-07,2023-02-07 08:00:00,7,7,4,0,0,6.3,57.8,0.0,32.0,0,0,0,0,1,2,9.4e-05,2,10,34,8,1,0,0.8965,-0.8197,0.7566,0,0
19,2023-02-07,2023-02-07 08:00:00,50,56,75,23,21,7.2,49.6,1.48,22.0,1,0,0,0,3,3,0.001037,3,15,34,8,1,0,0.7651,-0.5817,-0.5062,0,0
20,2023-02-07,2023-02-07 08:00:00,55,62,86,28,29,6.0,88.0,5.22,11.1,1,0,0,0,0,1,0.001046,4,53,40,8,1,0,-0.1898,-0.4816,0.7941,0,0
21,2023-02-07,2023-02-07 08:00:00,314,335,503,132,144,6.5,75.9,0.0,13.2,0,0,0,0,16,0,0.006254,5,51,25,8,1,0,-0.2081,0.505,0.2856,0,0
22,2023-02-07,2023-02-07 08:00:00,244,201,356,104,110,6.9,86.3,0.0,7.7,0,0,0,0,13,1,0.004519,6,50,31,8,1,0,-0.2583,1.3044,-0.9555,0,0
23,2023-02-07,2023-02-07 08:00:00,95,92,129,38,35,13.9,79.9,0.0,12.6,0,0,0,0,4,3,0.001695,7,14,26,8,1,0,-0.5837,0.7994,-0.5804,0,0
24,2023-02-07,2023-02-07 08:00:00,3,3,2,1,1,10.5,66.0,0.0,26.3,0,0,0,0,0,2,3.6e-05,0,36,25,8,1,0,1.0457,-0.1576,0.1914,0,0
25,2023-02-07,2023-02-07 08:00:00,20,19,36,11,12,10.1,66.8,0.0,6.6,0,0,0,0,1,0,0.000437,1,53,39,8,1,0,-0.7813,-0.0741,0.6674,0,0
26,2023-02-07,2023-02-07 08:00:00,98,106,161,33,33,9.5,41.9,3.57,27.5,1,0,0,0,2,1,0.001895,2,33,46,8,1,0,-0.0662,-0.2576,-0.0755,0,0
27,2023-02-07,2023-02-07 08:00:00,213,196,285,94,80,2.9,66.0,12.22,21.6,1,0,0,0,5,2,0.004045,3,34,9,8,1,0,-0.6289,-0.0822,0.6814,0,0
28,2023-02-07,2023-02-07 08:00:00,22,22,34,9,8,11.1,86.4,0.0,12.4,0,0,0,0,0,0,0.000366,4,56,39,8,1,0,1.234,0.2668,-0.7921,0,0
